"New moons datetime","Terms datetime","Principal terms",2025,"Lunar month"
,"05/01 09:32","Tiểu hàn",,
,"20/01 03:00","Đại hàn","Maj",
"29/01 19:36","03/02 21:10","Lập xuân",,1
,"18/02 17:06","Vũ Thủy","Maj",
"28/02 07:44","05/03 15:07","Kinh trập",,2
,"20/03 16:01","Xuân phân","Maj",
"29/03 17:57","04/04 19:48","Thanh minh",,3
,"20/04 02:56","Cốc vũ","Maj",
"28/04 02:31","05/05 12:57","Lập hạ",,4
,"21/05 01:54","Tiểu mãn","Maj",
"27/05 10:02","05/06 16:56","Mang chủng",,5
,"21/06 09:42","Hạ chí","Maj",
"25/06 17:31","07/07 03:05","Tiểu thử",,6
,"22/07 20:29","Đại thử","Maj",
"25/07 02:11","07/08 12:51","Lập thu",,"6 leap month"
,"23/08 03:33","Xử thử","Maj",
"23/08 13:06","07/09 15:52","Bạch lộ",,7
"22/09 02:54","23/09 01:19","Thu phân","Maj",8
,"08/10 07:41","Hàn lộ",,
"21/10 19:25","23/10 10:51","Sương giáng","Maj",9
,"07/11 11:04","Lập đông",,
"20/11 13:47","22/11 08:35","Tiểu tuyết","Maj",10
,"07/12 04:04","Đại tuyết",,
"20/12 08:43","21/12 22:03","Đông chí","Maj",11
